GEOID20,District
34033020001,3
34033001501,3
34033042009,3
34033000703,3
34033042001,3
34033007001,3
34033030001,3
34033004204,3
34033004206,3
34033004208,3
34033042007,3
34033005002,3
34033070001,3
34033004205,3
34033060E01,3
3403360W001,3
3403360W002,3
34033060E02,3
34033004203,3
34033004202,3
34011ZZZZZZ,1
34011025003,1
34033020002,3
34011060001,3
34011030001,3
34033000702,3
34029025417,9
34029025422,9
34029025415,9
34029060010,9
34029060009,9
34029055014,12
34029055004,12
34029055003,12
34029055001,12
34029055011,12
34029090009,9
34029090040,9
34037120001,24
34005195001,8
34005150012,8
34005150011,8
34005150001,8
34005150014,8
34005150009,8
34005150013,8
34005135002,12
34005135003,12
34005170003,8
34005170006,8
34005170004,8
34005180004,8
34005180001,8
34005170005,8
34021035007,15
34021035004,15
34021030008,15
34021030005,15
34021050004,16
34005180005,8
34005180002,8
34005180003,8
34005170002,8
34005090007,8
34005950009,8
34005090006,8
34005090008,8
34005090003,8
34005105014,8
34005105012,8
34005110001,8
34005110002,8
34029025116,9
34029060013,9
34029060014,9
34029025139,9
34029025102,9
34005110003,8
34005110004,8
34029025236,9
34029025211,9
34029025233,9
34029025104,9
34029060012,9
34029060004,9
34029060006,9
34029060005,9
34029060018,9
34029025332,9
34005105010,8
34005105004,8
34005105013,8
34005025301,7
34005025101,7
34005025302,7
34005105007,8
34005105011,8
34005105003,8
34029060002,9
34005065024,8
34005065008,8
34005065030,8
34005065028,8
34005065019,8
34005065017,8
34005065027,8
34005065029,8
34005065032,8
34005065018,8
34005065015,8
34005065011,8
34005125026,7
34005065020,8
34005065031,8
34005065010,8
34007170006,6
34005065026,8
34005065016,8
34007043034,6
34007170013,6
34007170014,6
34005065002,8
34007043033,6
34005065004,8
34005065014,8
34005065001,8
34005065003,8
34007170015,6
34007170008,6
34007043036,6
34007043046,6
34007170003,6
34007170007,6
34007043047,6
34041070001,23
34041055002,23
34041055001,23
34007170019,6
34007170017,6
34025090004,13
34025140003,13
34025047005,11
34025090009,13
34029060003,9
34007170005,6
34007170002,6
34007170012,6
34007043029,6
34007043030,6
34007170001,6
34007043005,6
34007170018,6
34007043035,6
34007043002,6
34007043014,6
34007170004,6
34007155001,6
34007105002,6
34007105001,6
34007015002,5
34007165001,6
34007085004,6
34007155003,6
34007115001,6
34007115002,6
34007155002,6
34007135018,5
34007135014,5
34007135003,5
34007135009,5
34007115003,6
34007075009,4
34007115004,6
34007150005,5
34007015004,5
34007015003,5
34007015001,5
34007090003,5
34007090002,5
34007020001,5
34007020007,5
34007075021,4
34007130001,6
34007055001,5
34007150003,5
34007150001,5
34007150004,5
34007150002,5
34007020002,5
34007125003,5
34007150006,5
34015010004,5
34007020004,5
34007020003,5
34007040404,5
34007040405,5
34007040402,5
34015010019,5
34015105001,3
34007035001,5
34015010020,5
34015010017,5
34015100003,3
34015010007,5
34015105003,3
34015010015,5
34015100002,3
34015105002,3
34015110103,5
34015110102,5
34029060016,9
34015110101,5
34015100010,3
34015100009,3
34029025320,9
34029025206,9
34015060002,3
34015100015,3
34015100008,3
34015100005,3
34015060003,3
34015100007,3
34015060004,3
34015060001,3
34015100001,3
34015100016,3
34015070005,3
34029005001,9
34029102002,9
34029025000,9
34029ZZZZZZ,9
34029060008,9
34029060015,9
34029085003,9
34029060001,9
34029060007,9
34029060017,9
34029060011,9
34029102001,9
34029102005,9
34029102006,9
34029102004,9
34029150018,9
34029003002,9
34029003004,9
34029003006,9
34029003007,9
34029003012,9
34029003008,9
34029003005,9
34029160002,9
34029160001,9
34029080005,9
34029080001,9
34029080011,9
34029150005,9
34001010501,2
34001010502,2
34001010404,2
34001010302,2
34001010401,2
34005185001,8
34005005001,8
34001042103,8
34005165004,8
34005165002,8
34001045001,1
34001040004,2
34005165001,8
34005165003,8
34007175006,4
34007175004,4
34001065003,8
34005105016,8
34001050001,8
34001065002,8
34001065001,8
34007175003,4
34007175007,4
34007180202,4
34007180105,4
34007180104,4
34007045001,4
34007180106,4
34007170016,6
34007170011,6
34007170009,6
34007030003,6
34007030001,6
34007170010,6
34007025002,6
34007025004,6
34007110009,6
34007065002,6
34007065001,6
34009ZZZZZZ,1
34009015001,1
34015035002,3
34015035001,3
34015120002,3
34015080002,3
34007110004,6
34007050003,6
34007110007,6
34007110003,6
34007160001,6
34007160003,6
34007140001,6
34007095001,6
34007160006,6
34007160004,6
34007155004,6
34007110008,6
34007110001,6
34007160002,6
34007075026,4
34007075011,4
34007075015,4
34007075012,4
34007075025,4
34007075016,4
34007075024,4
34007075003,4
34015035005,3
34015070002,3
34015035004,3
34015015002,3
34015070001,3
34007075001,4
34015070003,3
34015070004,3
34007075022,4
34011040001,1
34007075002,4
34007075006,4
34015090008,4
34007075013,4
34015010008,5
34007075004,4
34015010021,5
34033070002,3
34015025005,4
34015025007,4
34033050001,3
34015010018,5
34015010006,5
34015010002,5
34015010010,5
34015010016,5
34015010022,5
34015010009,5
34015110201,5
34015110203,5
34015110202,5
34015110302,5
34015110204,5
34015110304,5
34015110303,5
34015110301,5
34015040004,3
34015040002,3
34015050001,3
34015050010,3
34015075007,3
34015075004,3
34015050006,3
34015100006,3
34015100013,3
34015100017,3
34015100011,3
34015100014,3
34015015007,3
34015050012,3
34015050008,3
34015015001,3
34029080002,9
34001010603,2
34001010601,2
34001010602,2
34001110005,2
34001010402,2
34001010403,2
34001010301,2
34001095201,2
34001095104,2
34001095103,2
34001055015,2
34001005101,2
34001055014,2
34001055001,2
34001055009,2
34001100201,2
34001055008,2
34001055007,2
34001100101,2
34001055002,2
34001085201,8
34001085301,8
34001010303,2
34001010203,2
34001010202,2
34001015401,2
34001015301,2
34001ZZZZZZ,2
34001010104,2
34001015101,2
34029080008,9
34029080014,9
34029085002,9
34009050002,1
34009050001,1
34029080007,9
34029080013,9
34029040001,9
34001025003,4
34001105204,2
34001105102,2
34001105103,2
